name,phone,website,address,city,rating,reviews,type,place_id,email_guess,mv_quality,mv_result
The Republic of the Rio Grande,(956) 994-8385,http://www.therepublicmcallen.com/,"1411 S 10th St, McAllen, TX 78501",McAllen,4.7,3720,Steak house,ChIJ2ZhIo1CnZYYRdq9655fDWr4,republicmanagement1411@gmail.com,good,ok
Milano Nail Spa West U,(832) 767-5541,https://milanonailwestuniversity.com/,"5110 Buffalo Speedway Suite C, Houston, TX 77005",Houston,4.8,3702,Nail salon,ChIJsQOM9hPBQIYRRCWHxeA1O6Y,milanonailswestu@gmail.com,good,ok
Good Luck Cafe,(915) 532-9039,http://goodluckcafe.net/,"3813 Alameda Ave, El Paso, TX 79905",El Paso,4.4,3696,Mexican restaurant,ChIJlwcPFoJZ54YReRMQdG3b99A,catering@goodluckcafe.net,bad,invalid
Roaring Fork,(512) 342-2700,http://roaringfork.com/,"10850 Stonelake Blvd, Austin, TX 78759",Austin,4.5,3673,American restaurant,ChIJCxiuFHvMRIYRQy-KBmm5BjE,marketing@guyandlarryrestaurants.com,risky,catch_all
Soto,(512) 531-9142,https://sotosouthlamar.com/?y_source=1_MTYxMDkxMDQtNzE1LWxvY2F0aW9uLndlYnNpdGU=,"1100 S Lamar Blvd Ste 2115, Austin, TX 78704",Austin,4.7,3667,Japanese restaurant,ChIJz7WqZx-1RIYRg92N62_QVKk,manager@sotorestaurant.com,good,ok
Odd Duck,(512) 433-6521,http://oddduckaustin.com/,"1201 S Lamar Blvd, Austin, TX 78704",Austin,4.7,3623,New American restaurant,ChIJi8__nx-1RIYR56djED9FLLE,foh@oddduckaustin.com,good,ok
Fonda San Miguel,(512) 459-4121,http://www.fondasanmiguel.com/,"2330 W N Loop Blvd, Austin, TX 78756",Austin,4.6,3603,Mexican restaurant,ChIJc7Guu_XKRIYRSxDQUZwxkns,events@fondasanmiguel.com,good,ok
Maple & Motor,(214) 522-4400,http://mapleandmotor.com/,"4810 Maple Ave, Dallas, TX 75219",Dallas,4.6,3527,Hamburger restaurant,ChIJLa5gnaWeToYRY2vYniKVLBA,catering@mapleandmotor.com,good,ok
Jester King Brewery,(512) 900-1820,https://jesterkingbrewery.com/,"13187 Fitzhugh Rd, Austin, TX 78736",Austin,4.6,3523,Brewery,ChIJkexlLlRGW4YRCXbXqNo7G_8,dcerda@jesterkingbrewery.com,bad,invalid
787 Coffee,(915) 219-8718,http://www.787coffee.com/,"5038 Alameda Ave, El Paso, TX 79905",El Paso,4.9,3515,Coffee shop,ChIJ7xTWUFRb54YRJeD4nf0ed6k,hello@787coffee.com,good,ok
Avesta Persian Middle Eastern,(713) 781-5555,https://www.avestahouston.com/,"11165 Westheimer Rd, Houston, TX 77042",Houston,4.7,3506,Persian restaurant,ChIJ-5rPUs_cQIYRumV7nQ61xis,avestahouston@gmail.com,good,ok
la Barbecue,,http://www.labarbecue.com/,"2401 E Cesar Chavez St, Austin, TX 78702",Austin,4.4,3436,Barbecue restaurant,ChIJIR1tw661RIYRUgfHust5Vv0,hello@labarbecue.com,good,ok
Pizza Classics,(210) 225-3356,http://www.pizzaclassics.com/,"3440 N St Mary's St, San Antonio, TX 78212",San Antonio,4.5,3428,Pizza restaurant,ChIJ07QpUPL1XIYRscCgL11FFPU,rjconstantin@yahoo.com,risky,unknown
Doc B's Restaurant,(512) 672-8400,https://docbsrestaurant.com/locations/austin,"3001 Palm Way Suite 120, Austin, TX 78758",Austin,4.7,3422,American restaurant,ChIJiSgwmnLMRIYRifsgXKrwVSQ,ap@docbsfreshkitchen.com,good,ok
Taco Fuego,,https://tacofuego.com/,"401 Franklin St Suite 1260, Houston, TX 77201",Houston,4.9,3414,Mexican restaurant,ChIJIXHDpMu_QIYRtXiTzXzMNfo,admin@tacofuego.com,good,ok
Uchi Austin,(512) 916-4808,https://uchi.uchirestaurants.com/location/austin/,"801 S Lamar Blvd, Austin, TX 78704",Austin,4.6,3403,Sushi restaurant,ChIJz2Whyx61RIYR7mCeZje-QWw,uchiwesthollywoodmanagers@uchirestaurants.com,risky,unknown
The Hampton Social - Dallas,(469) 498-9890,https://www.thehamptonsocial.com/,"1520 Main St, Dallas, TX 75201",Dallas,4.8,3352,American restaurant,ChIJW4OxHwCZToYRlEQxoOQwBIM,norris@parkerhospitality.com,good,ok
Hyper Inkers Tattoo and Piercing Studio,(210) 997-9737,https://hyperinkers.com/,"8045 Callaghan Rd, San Antonio, TX 78230",San Antonio,4.9,3348,Tattoo shop,ChIJlysjQwBfXIYRtWUWg1pzvJo,damian.hyperinkers@gmail.com,bad,invalid
The Law Offices of Hilda Sibrian,(713) 714-1414,https://hildasibrian.com/?utm_campaign=gmb,"846 North Loop, Houston, TX 77009",Houston,5,3324,Personal injury attorney,ChIJ1-eAjQTHQIYRwYPpeAEeB9M,hilda@sibrianlaw.com,good,ok
Carrabba's - The Original On Kirby,(713) 522-3131,http://www.carrabbasoriginal.com/,"3115 Kirby Dr, Houston, TX 77098",Houston,4.6,3317,Italian restaurant,ChIJ2w9_he3AQIYRofCumgLvKu4,kirby@carrabbasoriginal.com,good,ok
Mandola's Italian Kitchen,(512) 419-9700,https://mandolas.com/,"4700 W Guadalupe St #12, Austin, TX 78751",Austin,4.5,3313,Italian restaurant,ChIJ5TZAf2XKRIYRg7t2uQYn1Kw,office@mandolas.com,good,ok
"A&A Plumbing, Heating, and Cooling",(210) 642-1847,https://www.aaplumbingsa.com/,"121 Windy Meadows Dr, Schertz, TX 78154",Schertz,4.9,3300,Plumber,ChIJr_cwyPOMXIYRmbJxH1ZCTF4,office@aaplumbingsa.com,good,ok
"DTF Order - Premium, Vibrant & Swift DTF Printing Services",(972) 707-1206,https://dtforder.com/,"11834 Harry Hines Blvd Suite 115, Dallas, TX 75234",Dallas,4.9,3296,Screen printing shop,ChIJr7XZBzIfTIYRHeE3Oq8pnwg,support@dtforder.com,good,ok
Carnation Auto Spa,(972) 777-5170,https://carnationautospa.com/carnation-locations/dallas-lemmon/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"4915 Lemmon Ave, Dallas, TX 75219",Dallas,4.5,3289,Car wash,ChIJV4lQHEifToYRu839UWXY7Dc,hello@carnationautospa.com,good,ok
Original Market Diner,(214) 521-0992,https://www.originalmarketdiner.com/,"4434 Harry Hines Blvd, Dallas, TX 75219",Dallas,4.5,3279,Breakfast restaurant,ChIJ4UWl_6yeToYRyovC0V5PzWY,originalmarketdiner@yahoo.com,risky,unknown
Colair,(956) 581-5212,https://colairinc.com/,"1221 E Expressway 83 Suite A, Mission, TX 78572",Mission,5,3278,HVAC contractor,ChIJ8XVUfQuoZYYR1Ct4Y8QBDuc,sales@colairinc.com,good,ok
Guillermo's,(210) 223-5587,http://www.guillermosdowntown.com/,"618 McCullough Ave, San Antonio, TX 78215",San Antonio,4.4,3277,Italian restaurant,ChIJxRBd_VZfXIYR1Q-9N30wDho,guillermo@guillermosdowntown.com,risky,unknown
EōS Fitness,(832) 478-1956,https://eosfitness.com/gym/houston-gillette-st-allen-pkwy/?utm_source=local&utm_medium=organic&utm_campaign=evergreen_gmb,"1755 Allen Pkwy ste 2, Houston, TX 77019",Houston,4.3,3266,Gym,ChIJbzpGZFm_QIYRwF6S5OkowRA,fmtxhga@eosfitness.com,good,ok
Tandoorish,(346) 206-4299,https://www.tandoorish.com/,"9135 W Sam Houston Pkwy N #400, Houston, TX 77064",Houston,4.7,3240,Indian restaurant,ChIJ11ojwyzOQIYRhCdxA0RpCss,hello@rfuenzalida.com,good,ok
Sam's Sunset Kitchen,(281) 326-7267,http://www.samsboat.com/locations/seabrook/,"3101 NASA Road 1, Seabrook, TX 77586",Seabrook,4.3,3228,Seafood restaurant,ChIJmyI_zGZiP4YR5EVj_NSwxvs,samsseabrook@samsboat.com,risky,unknown
One Hour Air Conditioning & Heating,(817) 766-5706,https://www.onehourairftworth.com/?utm_source=organic&utm_medium=gbp,"2535 Brennan Ave, Fort Worth, TX 76106",Fort Worth,4.8,3209,HVAC contractor,ChIJp-CLd_nhTYYRN-AndhiVWlY,customerservice@onehourair.com,good,ok
The Rice Box,(713) 408-8678,https://riceboxed.com/locations/heights/,"300 W 20th St, Houston, TX 77008",Houston,4.3,3202,Chinese restaurant,ChIJld24_WTHQIYRxXvG7YH40_g,heights@riceboxed.com,good,ok
Bungalow,(713) 393-7868,https://bungalowdining.com/,"407 Main St, Houston, TX 77002",Houston,4.5,3173,Steak house,ChIJUywG2OG_QIYRUp64RJXu9wA,reservation@alifehospitality.com,good,ok
Bayou Music Center,(713) 230-1600,https://www.bayoumusiccenter.com/?utm_source=GMBlisting&utm_medium=organic,"520 Texas Ave, Houston, TX 77002",Houston,4.4,3169,Live music venue,ChIJwaIsyDC_QIYRWjyGIQYmPYM,infobmc@livenation.com,good,ok
La Mexicana,(713) 521-0963,http://www.lamexicanarestaurant.com/,"1018 Fairview St, Houston, TX 77006",Houston,4,3147,Mexican restaurant,ChIJVYLye2C_QIYRf_Djo1Ugx_s,donations@lamexicanarestaurant.com,good,ok
Cane Rosso,(817) 922-9222,https://www.canerosso.com/,"815 W Magnolia Ave, Fort Worth, TX 76104",Fort Worth,4.5,3143,Pizza restaurant,ChIJKW01mXVxToYRH3kzgP4CFKE,jamador@canerosso.com,good,ok
Hillstone,(713) 529-2385,https://hillstonerestaurant.com/locations/houston/#,"4848 Kirby Dr, Houston, TX 77098",Houston,4.3,3138,American restaurant,ChIJq13iF_TAQIYR93rF2J-02XI,guestservices@hillstone.com,risky,catch_all
Patron Grill,(936) 328-8333,https://patrongrill.shop/,"1301 W Church St, Livingston, TX 77351",Livingston,4.4,3123,Mexican restaurant,ChIJNxEZb52GOIYRWHNarwCRkz8,contact@foodplacee.com,good,ok
Milano Nail Spa Meyerland,(281) 974-2904,https://milanonailspameyerland.com/,"600 Meyerland Plz, Houston, TX 77096",Houston,4.8,3121,Nail salon,ChIJR-GjaADBQIYR6OG4CGEPd_g,milanonailspameyerland@gmail.com,good,ok
Butter Smith Kitchen & Pies,(915) 751-3455,https://www.buttersmith.com/,"4757 Hondo Pass Dr, El Paso, TX 79904",El Paso,4.3,3108,Breakfast restaurant,ChIJ93VQEy9R54YR8NHqyOCZvas,contact@buttersmith.com,risky,catch_all
Air Tech of Katy,(281) 317-7680,https://www.airtechofkaty.com/locations/katy-tx/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*21*air-tech-katy,"5614 Franz Rd Suite B, Katy, TX 77493",Katy,4.8,3101,Electrician,ChIJm4Cj5NIlQYYRnb97wlFDkDk,service@airtechofkaty.com,good,ok
Affordable Furniture,(713) 681-6300,http://www.affordablefurniturehouston.com/,"12005 Northwest Fwy Suite B, Houston, TX 77092",Houston,4.9,3048,Furniture store,ChIJV-xoQz2XQIYR49yqfDCQn00,affordablefurniturenw@gmail.com,good,ok
Neches River Wheelhouse,(409) 853-1249,http://nechesriverwheelhouse.com/,"720 Lee Ave, Port Neches, TX 77651",Port Neches,4.4,3013,Seafood restaurant,ChIJb5HZEHqxPoYRQY9sLadfXPg,setxwheelhouse@gmail.com,good,ok
Mike's Chicken,(214) 443-7822,http://www.mikeschicken.co/,"4234 Maple Ave, Dallas, TX 75219",Dallas,4.6,3012,Chicken restaurant,ChIJAy4sBLSeToYRJtM1Kqlnj00,hello@mikeschicken.co,good,ok
Home Zone Furniture,(512) 852-8610,https://homezonefurniture.com/pages/round-rock?utm_source=local&utm_medium=organic,"1601 N Interstate Hwy 35 #500, Round Rock, TX 78664",Round Rock,4.9,3011,Furniture store,ChIJ4QKsGCHORIYRD5vJ0iJ3z8w,manager15@homezonefurniture.com,good,ok
The Hoppy Monk,(210) 545-3330,http://www.thehoppymonk.com/sanantonio,"1010 N Loop 1604 E, San Antonio, TX 78232",San Antonio,4.5,3004,Bar,ChIJt-ifFgKKXIYR8Z2LD4bFrsw,feedback@thehoppymonk.com,good,ok
Eureka!,(512) 735-1144,http://eurekarestaurantgroup.com/blog/locations/austin/,"200 E 6th St, Austin, TX 78701",Austin,4.4,2986,American restaurant,ChIJF9Jpeqe1RIYRqEgyqpTpZ1c,guestservices@eurekarestaurantgroup.com,good,ok
Lupe Tortilla Mexican Restaurant,(713) 522-4420,https://tex-mex.com/west-university-downtown/,"2414 Southwest Fwy, Houston, TX 77098",Houston,4.4,2984,Mexican restaurant,ChIJIZL7EvPAQIYRV94ozpA6pFs,twilson@lupetortilla.com,good,ok
Bread Winners Cafe & Bakery,(214) 556-1334,https://breadwinnerscafe.com/uptown-dallas,"3301 McKinney Ave, Dallas, TX 75204",Dallas,4.3,2982,Restaurant,ChIJFWBqMtOeToYRvS9FXF0BOCw,uptown@breadwinnerscafe.com,good,ok
Air Tech of Humble - Elite Comfort,(346) 236-1240,https://www.airtechofhumble.com/locations/humble-tx/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*20*air-tech-humble,"1710 1st St E, Humble, TX 77338",Humble,4.9,2970,HVAC contractor,ChIJJ8yZOL-yQIYRCvmn6R0BcsI,service@airtechofhumble.com,good,ok
Sushi Masa Beaumont,(409) 225-5969,https://sushimasaus.com/,"4185 Dowlen Rd, Beaumont, TX 77706",Beaumont,4.9,2943,Sushi restaurant,ChIJ46NMQVgzOYYR9dfLCG0QLUQ,batonrougela@sushimasaus.com,good,ok
Southwest Irrigation Systems,(281) 494-3700,http://www.swis-inc.com/,"2511 McKeever Rd, Rosharon, TX 77583",Rosharon,4.9,2928,Lawn sprinkler system contractor,ChIJeez3kqDvQIYRdq8Td9PiX7g,service@swis-inc.com,good,ok
Truluck's Ocean's Finest Seafood & Crab,(713) 783-7270,https://trulucks.com/locations/houston-texas/,"5350 Westheimer Rd, Houston, TX 77056",Houston,4.6,2924,Seafood restaurant,ChIJS_vq1GXBQIYRaGH_5YQ4x3M,austinevents@trulucks.com,good,ok
Orkin,(210) 806-5123,https://www.orkin.com/locations/texas-tx/san-antonio-pest-control/branch-776?utm_source=local&utm_medium=local&utm_campaign=LCL0277,"10443 Gulfdale St Ste 110, San Antonio, TX 78216",San Antonio,4.7,2920,Pest control service,ChIJt1PjIX3zXIYRJKKj3TB8hOs,branch877@orkin.com,bad,invalid
Meno's Méxican Grill | Stan Schlueter,(254) 554-8220,https://menosgrilltx.com/,"1100 E Stan Schlueter Loop, Killeen, TX 76542",Killeen,4.2,2914,Mexican restaurant,ChIJ787sTlRKRYYRM610sR9eKr0,menosgrill@gmail.com,good,ok
U.S. Dermatology Partners Spicewood Springs,(512) 476-9195,https://www.usdermatologypartners.com/austin-spicewood-springs/,"3807 Spicewood Springs Rd #200, Austin, TX 78759",Austin,4.9,2908,Dermatologist,ChIJF23mqg3LRIYRQ69ii0tPgWs,houston-hermann@usdermparnters.com,bad,invalid
Schrader Plumbing,(817) 262-0989,https://www.schraderplumbing.com/,"5520 Davis Blvd, North Richland Hills, TX 76180",North Richland Hills,4.9,2901,Plumber,ChIJf6ba2pF_ToYRO0yhu_thTSY,contact@schraderplumbing.com,good,ok
Taqueria Datapoint,(726) 238-4286,https://www.taqueriadatapointmedicaldrive.net/,"4061 Medical Dr, San Antonio, TX 78229",San Antonio,4.4,2900,Mexican restaurant,ChIJOe8ItKhgXIYRZ6Ot0Abv0Ac,taqueriadatapointmedicaldrive@gmail.com,good,ok
Perla's,(512) 291-7300,http://perlasaustin.com/,"1400 S Congress Ave, Austin, TX 78704",Austin,4.5,2898,Seafood restaurant,ChIJb7byD_20RIYRT9uoSeSUvzY,events@perlasaustin.com,good,ok
Aladdin Mediterranean cuisine,(713) 942-2321,https://aladdinshouston.com/,"912 Westheimer Rd, Houston, TX 77006",Houston,4.6,2883,Mediterranean restaurant,ChIJ3RBHCWG_QIYRXqlqTIyTIf4,catering@aladdinshouston.com,good,ok
Auto Liquidators Plus,(469) 291-9948,https://www.autoliquidatorsplus.com/?utm_source=googlemybusiness&utm_medium=organic,"39670 Lyndon B Johnson Fwy, Dallas, TX 75237",Dallas,4.7,2877,Used car dealer,ChIJs8n-mhSRToYRULAAFQxm8eE,sales@autoliquidators.net,good,ok
Tia Juanita's Fish Camp,(409) 434-4532,https://www.tjfishcamp.com/,"5555 Calder Ave, Beaumont, TX 77706",Beaumont,4.6,2841,Mexican restaurant,ChIJIRVKlqjMPoYRDNdt6xa3-uk,admin@tiaswaco.com,good,ok
Angry Dog,(214) 741-4406,https://www.angrydog.com/,"2726 Commerce St, Dallas, TX 75226",Dallas,4.6,2811,Hamburger restaurant,ChIJP9rrfN2YToYRM-YLi3Ov7T4,social@angrydog.com,bad,invalid
American Irrigation Repair,(512) 868-2129,https://fixmyheads.com/,"3560 E University Ave, Georgetown, TX 78626",Georgetown,4.9,2810,Lawn sprinkler system contractor,ChIJGWX1rfvRRIYR4tptun0XN3U,hello@fixmyheads.com,risky,catch_all
Umiya Sushi,(210) 455-0299,https://www.umiyasa.com/,"11075 I-10 Suite 200, San Antonio, TX 78230",San Antonio,4.5,2810,Japanese restaurant,ChIJO0AnxS9nXIYRu3CYYsaBz3o,umiyasushisa@gmail.com,good,ok
NOLA Restaurant,(210) 255-8842,http://eatatnola.com/,"1101 Broadway Ste 120, San Antonio, TX 78215",San Antonio,4.4,2796,Breakfast restaurant,ChIJqwuNwmFfXIYRgIqnSM7xSAs,hello@whereyatsa.com,good,ok
Proven Plumbing & Air,(512) 775-1234,https://www.callproven.com/,"300 Brushy Creek Rd Suite 402, Cedar Park, TX 78613",Cedar Park,4.9,2785,Plumber,ChIJmUYKBAotW4YRh06-vt0DbcY,customerservice@provenplumbing.com,good,ok
The Yard McKinney TX,(469) 631-0035,http://www.yardtx.com/,"107 S Church St, McKinney, TX 75069",McKinney,4.5,2778,Restaurant,ChIJV1T-K2ETTIYRlYXWCDiDwO0,eatdrinkplay@yardtx.com,good,ok
Calico County Restaurant,(806) 358-7664,http://www.calicocountydiner.com/,"2410 Paramount Blvd, Amarillo, TX 79109",Amarillo,4.3,2778,American restaurant,ChIJibnhXc9PAYcRUCU-C-nqxas,steve@ccr.rest,good,ok
Farmhouse Cafe,(936) 435-1450,http://www.farmhousecafetexas.com/,"1004 14th St, Huntsville, TX 77340",Huntsville,4.5,2777,American restaurant,ChIJQyno1o8IR4YR15Iko0rKPaE,farmhousecafe@me.com,good,ok
Los Vaqueros,(817) 624-1511,http://www.losvaqueros.com/,"2513 Rodeo Plaza, Fort Worth, TX 76164",Fort Worth,4.2,2771,Mexican restaurant,ChIJyUhJUqB2ToYRW4oiw8sss4o,lvinfo@losvaqueros.com,good,ok
Bubba's Texas Burger Shack,(713) 661-1622,https://bubbastexasburgershack.com/?utm_source=google,"5230 Westpark Dr, Houston, TX 77056",Houston,4.5,2771,Hamburger restaurant,ChIJ0wxXfnfBQIYRmHBvCWC5aB0,bubbastexasburgershack@rocketmail.com,risky,unknown
The Flying Biscuit Cafe,(832) 659-0618,https://flyingbiscuit.com/locations-2/memorialcity/,"12389 Kingsride Ln, Houston, TX 77024",Houston,4.6,2764,Breakfast restaurant,ChIJtYqb-qTFQIYRl-zrsmhHnNU,kingwood@flyingbiscuit.com,risky,unknown
Picos Restaurant,(832) 831-9940,https://picos.net/?utm_source=google,"3601 Kirby Dr, Houston, TX 77098",Houston,4.3,2756,Mexican restaurant,ChIJZcpAhCTCQIYRt5hw6OjmZHs,arichards@picos.net,good,ok
Two Guys From Italy,(972) 247-6814,http://www.twoguysfromitalyrestaurant.com/,"11637 Webb Chapel Rd, Dallas, TX 75229",Dallas,4.5,2740,Italian restaurant,ChIJFYgACXQnTIYRFCq-HvOhzW0,twoguysfromitalydallas@gmail.com,good,ok
"Club Quarters Hotel Downtown, Houston",(713) 224-6400,https://clubquartershotels.com/houston/downtown,"720 Fannin St, Houston, TX 77002",Houston,3.9,2734,Hotel,ChIJB_NsLDu_QIYRZ3Buf7UtEeE,guestservices@clubquarters.com,good,ok
The Dentist,(915) 228-3084,https://thedentistelpaso.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,"3060 Joe Battle Blvd, El Paso, TX 79938",El Paso,4.9,2714,Dentist,ChIJ4_Mf9zBE54YRw26iCFZsOdw,thedentistelpaso@gmail.com,good,ok
Canales Furniture / Muebleria Oak Cliff,(214) 946-2659,https://www.canalesfurniture.com/pages/oak-cliff,"101 E Jefferson Blvd, Dallas, TX 75203",Dallas,4.9,2704,Furniture store,ChIJS7VgKk-ZToYRnza55qcZ2kE,dallas@canalesfurniture.com,good,ok
Hungry Jack's,(281) 462-7153,https://hungryjacks.restaurant/,"14045 FM 2100 Ste 120, Crosby, TX 77532",Crosby,4.7,2693,Breakfast restaurant,ChIJs_9vcxyoQIYRwZC59ndS6NY,support@spoton.com,good,ok
Huynh Restaurant,(713) 224-8964,http://www.huynhrestauranthouston.com/,"912 St Emanuel St, Houston, TX 77003",Houston,4.7,2692,Vietnamese restaurant,ChIJgRlKyCG_QIYRj2aexIUYdJw,phohuynhgirl@yahoo.com,risky,unknown
Street's Fine Chicken,(469) 917-7140,https://www.streetsfinechicken.com/,"3857 Cedar Springs Rd, Dallas, TX 75219",Dallas,4.5,2686,Southern restaurant (US),ChIJJeeAesmeToYRgrjusxjTtyo,sfc.team.cedarsprings@gmail.com,good,ok
Woods Comfort Systems,(512) 881-0056,https://woodscomfortsystems.com/?utm_source=GBP&utm_medium=GBP,"1902 Dutton Dr, San Marcos, TX 78666",San Marcos,4.9,2680,Plumber,ChIJo3rWFYKoXIYR4xav8q2nql4,service@woodscomfortsystems.com,bad,invalid
Grimaldi's Pizzeria,(915) 594-4929,https://www.grimaldispizzeria.com/locations/el-paso/,"8889 Gateway Blvd W Ste 1200, El Paso, TX 79925",El Paso,4.4,2676,Pizza restaurant,ChIJfziMJxpb54YRCe0xrP7QrBo,mmoss@grimaldispizzeria.com,good,ok
Al Biernat's Oak Lawn,(214) 219-2201,https://www.albiernats.com/locations/oak-lawn/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"4217 Oak Lawn Ave, Dallas, TX 75219",Dallas,4.7,2667,Steak house,ChIJTdYTTtueToYR1n1KpfzBLVo,frontdesk@albiernats.com,good,ok
Paesanos Lincoln Heights,(210) 828-5191,https://www.paesanos.com/,"555 E Basse Rd, San Antonio, TX 78209",San Antonio,4.4,2663,Italian restaurant,ChIJx3hz5Vz1XIYRdC22_0Sf3JE,%20plhbqts@joesfood.com,,
Taqueria Chapala Jalisco,(210) 735-5352,https://taqueriachapala.top/,"1902 McCullough Ave, San Antonio, TX 78212",San Antonio,4.3,2624,Mexican restaurant,ChIJTZXmkF1fXIYROCUnT57g94o,black9@qq.com,good,ok
Bartlett's,(512) 451-7333,http://bartlettsaustin.com/,"2408 W Anderson Ln., Austin, TX 78757",Austin,4.5,2601,Steak house,ChIJm1Lr-K_LRIYRmy1ivVVaF8E,bartletts@bartlettsaustin.com,good,ok
Howl at the Moon San Antonio,(210) 212-4770,https://www.howlatthemoon.com/san-antonio/,"111 W. Crockett Street St. #201, 111 W Crockett St St. #201, San Antonio, TX 78205",San Antonio,4.4,2587,Bar,ChIJWWhTTKtYXIYReBORjafOLT8,sanantonio@howlatthemoon.com,risky,catch_all
Guanajuato Bakery,(817) 831-6066,http://www.guanajuatobakery.com/,"3301 E Belknap St, Fort Worth, TX 76111",Fort Worth,4.5,2577,Bakery,ChIJK7oBHtNwToYRokBIO7OcQSI,guanajuatobakery@gmail.com,good,ok
The Crockett Hotel,(210) 225-6500,https://www.crocketthotel.com/?utm_source=google&utm_medium=organic&utm_campaign=business-listing,"320 Bonham Suite #2, San Antonio, TX 78205",San Antonio,4.4,2557,Hotel,ChIJCWResapYXIYR6fCu-9XRMEk,reservations@crocketthotel.com,good,ok
The Backyard Bar Stage and Grill,(254) 235-1151,http://www.backyardwaco.com/,"511 S 8th St, Waco, TX 76706",Waco,4.4,2556,Bar & grill,ChIJ1_-2mE6CT4YRtupchRPntsk,backyardwaco@gmail.com,good,ok
De Nada Cantina,(512) 615-3555,https://denadacantina.com/,"4715 E Cesar Chavez St, Austin, TX 78702",Austin,4.6,2550,Taco restaurant,ChIJYzTW7YK1RIYRCW0QG4_Eik4,hablar@denadacantina.com,good,ok
Lochridge Priest Home Services,(254) 545-2688,https://lochridgepriesthome.com/locations/waco/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*263*lochridge-waco,"401 S 13th St, Waco, TX 76706",Waco,4.9,2533,Plumber,ChIJ58W6nOmDT4YRwIawDCp1c04,service@lpwaco.com,good,ok
Walnut Hill Wrecker,(972) 284-1121,https://walnuthillwrecker.com/?utm_campaign=corporate_branding&utm_source=google&utm_medium=organic,"11239 Goodnight Ln, Dallas, TX 75229",Dallas,4.7,2527,Towing service,ChIJZ0wJqfUnTIYREMWjqWExWDQ,dfwcallcenter@vmsolutions.com,good,ok
La Stella Cucina Verace,(469) 663-7800,https://www.lastellatx.com/,"2330 Flora St #150, Dallas, TX 75201",Dallas,4.8,2524,Italian restaurant,ChIJUZEW2V-ZToYRUPceX82HbOg,management@lastellatx.com,good,ok
Mia's Table,(832) 626-0545,https://www.miastable.com/,"19325 Gulf Fwy Ste 6, Webster, TX 77598",Webster,4.5,2517,Family restaurant,ChIJVfxB38SdQIYRhNwBAFunL8g,mpendleton@miastable.com,good,ok
Maria Rita's Tex-Mex,(281) 888-1909,https://mariaritastexmex.com/?utm_source=google,"8445 Gulf Fwy, Houston, TX 77017",Houston,4.7,2515,Tex-Mex restaurant,ChIJw4DBdCeXQIYRXEvLHXGaPjM,admin@mariaritas.com,risky,catch_all
Cypress Creek Pest Control,(281) 469-2679,https://cycreekpestcontrol.com/,,,4.8,2511,Pest control service,ChIJWdTEuAjOQIYRJullL1xL_ik,nobugs@cycreekpestcontrol.com,good,ok
24 Hour Fitness,(281) 894-6151,https://www.24hourfitness.com/gyms/houston-tx/willowbrook-houston-super-sport?Adb_id=GGL_LOC_ACQ_CDP,"7300 W Greens Rd, Houston, TX 77064",Houston,4.6,2504,Gym,ChIJF7F9vN7NQIYRRQiat8I1nSE,ccpadr@24hourfit.com,risky,unknown
512 Locksmith,(512) 777-0021,https://texaslocksmiths.wixsite.com/512locksmith,,,4.9,2504,Locksmith,ChIJWfpdgKzLRIYR-yLClo0Upr4,dispatch@512locksmith.com,good,ok
Garage Door Doctor Repair,(281) 209-5436,https://garagedoordoctor.biz/katy-tx-garage-door-repair-installation-near-you/?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[katy],"6819 Hwy Blvd Ste 610, Katy, TX 77494",Katy,4.9,2502,Garage door supplier,ChIJATwqixUhQYYRukK38fyC_cw,financing@garagedoordoctor.biz,error,The read operation timed out
The Rouxpour,(281) 480-4052,https://www.therouxpour.com/,"700 Baybrook Mall H100, Friendswood, TX 77546",Friendswood,4.5,2495,Creole restaurant,ChIJNVy5L3qbQIYRjhi3Tthu68E,baybrook@therouxpour.com,good,ok
The Common Table,(469) 797-0964,https://www.thecommontable.com/,"6740 Winning Dr #1005, Frisco, TX 75034",Frisco,4.3,2494,American restaurant,ChIJa9WY5YQ8TIYRCkSq0aCSaSs,frisco@thecommontable.com,good,ok
Uptown Heating & Air Conditioning,(832) 709-0236,https://www.uptownac.com/,"11211 Richmond Ave Suite B102, Houston, TX 77082",Houston,4.8,2492,HVAC contractor,ChIJdwLISKraQIYRZSnde9fD4Vg,uptownair@gmail.com,good,ok
B&B Butchers,(713) 862-1814,https://www.bbbutchers.com/,"1814 Washington Ave, Houston, TX 77007",Houston,4.5,2489,Steak house,ChIJZ5W1zUu_QIYRHiNhFaSst-U,bbbutchersfw@berghospitality.com,good,ok
Shark Shack,(409) 497-2006,http://sharkshackbeachbarandgrill.com/home/,"2402 The Strand, Galveston, TX 77550",Galveston,4.6,2486,Seafood restaurant,ChIJZ0PvJR-fP4YR0IE-iEFAFIA,sharkshackgalveston@hotmail.com,good,ok
